Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"JCP Solicitors Limited (Inc VJG Johns & Son)","25","16","36","517","594","23","6","27","458","514","13","5","23","142","183"
"JMW Solicitors LLP","46","220","144","2437","2847","23","144","55","1749","1971","11","109","46","673","839"
"John W Davies & Co","17","30","53","518","618","5","12","16","404","437","3","11","15","185","214"
"Jones & Company","29","7","26","345","407","17","3","17","290","327","6","2","13","102","123"
"JS Law","15","41","37","1049","1142","23","17","39","776","855","11","9","23","214","257"
"Judge & Priestley","2","41","18","567","628","3","39","11","491","544","1","22","8","164","195"
"Juno Property Lawyers Limited","3","9","8","361","381","0","4","2","316","322","0","4","1","102","107"
"Just Retirement Money Limited","0","0","0","749","749","0","0","0","604","604","0","0","0","0","0"
"Kearns Legal Services Limited","0","0","0","616","616","0","0","0","469","469","0","0","0","13","13"
"Kenneth Elliott & Rowe","2","94","10","283","389","1","73","7","223","304","0","32","4","46","82"
"Kerseys","25","7","22","335","389","10","7","18","216","251","5","5","15","55","80"
"Kew Law LLP","10","14","31","469","524","14","17","22","456","509","10","11","17","168","206"
"Key Conveyancing","17","52","223","764","1056","10","29","104","648","791","9","23","70","234","336"
"Kidd Rapinet LLP","14","54","29","584","681","7","35","10","522","574","5","25","8","190","228"
"Kingfields","0","65","18","266","349","1","71","1","177","250","1","58","1","60","120"
"Knights Professional Services Limited","53","261","372","10332","11018","25","96","182","7188","7491","19","53","127","1538","1737"
"Kuit Steinart Levy","4","21","20","571","616","5","19","26","632","682","2","12","5","132","151"
"Lambert Pugh","14","4","36","499","553","12","9","20","538","579","6","2","10","148","166"
"Langley Wellington","21","25","128","437","611","12","14","64","368","458","5","9","44","120","178"
"Lanyon Bowdler","30","21","58","455","564","22","5","25","344","396","12","3","19","102","136"
"Laurus Law Limited","1","35","15","324","375","0","14","6","329","349","0","11","3","119","133"
"Law & Lawyers Solicitors","8","31","43","818","900","5","8","17","480","510","4","6","14","206","230"
"Lawcomm Solicitors","3","100","29","309","441","2","68","6","226","302","1","45","5","113","164"
"Lawrence Stephens","6","52","9","515","582","4","86","6","568","664","4","51","5","222","282"
"Leadenhall Law Group LTD","9","19","15","476","519","6","16","9","483","514","6","11","7","157","181"
"Leathes Prior","11","32","36","417","496","10","16","21","371","418","7","10","13","112","142"
"Leeds & Holbeck Building Society","0","0","0","4718","4718","0","0","0","4960","4960","0","0","0","0","0"
"Legacy Wills & Estate Planning Limited","0","0","0","396","396","0","0","0","149","149","0","0","0","9","9"
"Legal & General Home Finance LTD","0","0","0","675","675","0","0","0","662","662","0","0","0","0","0"
